City_ID,City_Serial_No,City,Country,Lat,Long,Temp_(F),Humidity_(Pct),Cloudiness_(Pct),Wind Speed_(mph)
0,5282297,Bethel,US,41.37,-73.41,63.37,100,90,4.7
1,1798760,Pingliang,CN,35.54,106.69,59.36,32,0,6.8
2,3653967,Muisne,EC,0.6,-80.03,73.96,81,100,6.22
3,3466980,Caravelas,BR,-17.71,-39.25,73.8,87,93,3.4
4,1491197,Spassk,RU,52.75,87.75,53.91,56,100,3.13
5,4030556,Rikitea,PF,-23.12,-134.97,73.71,74,93,2.95
6,3833367,Ushuaia,AR,-54.8,-68.3,44.6,65,75,3.36
7,2189343,Kaeo,NZ,-35.1,173.78,61,89,100,3.74
8,3366880,Hermanus,ZA,-34.42,19.23,66,70,0,7
9,3945985,Camaná,PE,-16.62,-72.71,61.81,79,100,6.02
10,3418910,Upernavik,GL,72.79,-56.15,25.74,95,97,4.03
11,3430863,Mar del Plata,AR,-38,-57.56,54.46,76,11,12.75
12,3874787,Punta Arenas,CL,-53.15,-70.92,44.29,75,75,12.75
13,964432,Port Alfred,ZA,-33.59,26.89,71.8,58,0,8.75
14,3099174,Głubczyce,PL,50.2,17.83,50.97,91,65,3
15,1528796,At-Bashi,KG,41.17,75.81,48.63,42,100,3.49
16,935215,Saint-Philippe,RE,-21.36,55.77,78.37,61,75,24.16
17,5848280,Kapaa,US,22.08,-159.32,73.94,83,75,5.82
18,355449,Esna,EG,25.29,32.55,89.11,15,0,3.69
19,2151437,Rockhampton,AU,-23.38,150.5,82.4,54,14,10.29
20,4021858,Guerrero Negro,MX,27.98,-114.06,66.7,89,2,8.79
21,2070998,Geraldton,AU,-28.77,114.6,73.4,53,0,23.04
22,3421719,Narsaq,GL,60.92,-46.05,26.6,68,2,3.36
23,2017155,Saskylakh,RU,71.92,114.08,6.28,94,5,7.11
24,3652764,Puerto Ayora,EC,-0.74,-90.35,66,96,99,3
25,4020109,Atuona,PF,-9.8,-139.03,78.22,74,1,15.32
26,2621910,Frederiksværk,DK,55.97,12.02,55.78,91,99,14
27,1636022,Martapura,ID,-3.42,114.85,86,79,40,5.82
28,2511150,Santa Lucía,ES,27.91,-15.54,65.71,82,20,10.29
29,2014624,Udachny,RU,66.42,112.4,5,92,90,2.24
30,1007311,Durban,ZA,-29.86,31.03,70.25,73,35,6.93
31,3674676,Mitú,CO,1.2,-70.17,72.3,97,100,1.41
32,2019935,Mnogovershinnyy,RU,53.94,139.92,39.07,95,100,3.56
33,3120211,Jaca,ES,42.57,-0.55,55,87,22,4.88
34,2111884,Miyako,JP,39.64,141.95,63.27,74,100,9.91
35,3137469,Sørland,NO,67.67,12.69,39.2,69,75,10.29
36,2126199,Cherskiy,RU,68.75,161.3,22.1,95,22,11.7
37,3932145,Pisco,PE,-13.7,-76.22,61.32,87,69,10.29
38,6167817,Torbay,CA,47.67,-52.73,50.32,93,90,9.17
39,2208248,Kaitangata,NZ,-46.28,169.85,52,83,100,5.99
40,2112802,Hasaki,JP,35.73,140.83,68,77,75,5.82
41,3435910,Buenos Aires,AR,-34.61,-58.38,56.84,93,90,21.92
42,2155415,New Norfolk,AU,-42.78,147.06,56.37,45,64,5.99
43,2013921,Ust-Kuyga,RU,70.02,135.6,11.32,95,100,6.35
44,2524170,Messina,IT,38.19,15.55,63.03,72,40,4.7
45,5354943,Half Moon Bay,US,37.46,-122.43,58.53,77,1,1.86
46,3372707,Ribeira Grande,PT,38.52,-28.7,60.8,67,75,6.93
47,1681079,Tuburan,PH,6.64,122.27,89.6,66,40,4.7
48,2206939,Bluff,NZ,-46.6,168.33,60.01,59,100,1.01
49,3448903,São João da Barra,BR,-21.64,-41.05,72.3,88,30,10.49
50,3995142,Naica,MX,27.85,-105.48,70.66,35,0,7.52
51,5122534,Jamestown,US,42.1,-79.24,52.21,93,90,3.36
52,2036338,Kaitong,CN,44.81,123.15,43.63,52,0,10.92
53,3985710,Cabo San Lucas,MX,22.89,-109.91,79,75,0,1.01
54,5435464,Pueblo,US,38.25,-104.61,48.65,36,1,5.99
55,5380437,Pacific Grove,US,36.62,-121.92,55.4,93,1,2.71
56,3408424,Ipixuna,BR,-1.76,-48.8,75.2,94,13,2.24
57,3493032,San Pedro de Macorís,DO,18.46,-69.3,73.4,100,40,5.93
58,546105,Nikolskoye,RU,59.7,30.79,39.96,93,90,8.95
59,2158767,Mareeba,AU,-17,145.43,79.59,65,75,11.41
60,3531368,Celestún,MX,20.87,-90.4,78.73,87,64,7.29
61,1507390,Dikson,RU,73.51,80.55,27.18,95,100,8.19
62,2012938,Yerofey Pavlovich,RU,53.97,121.97,32.14,77,0,8.59
63,3372783,Ponta Delgada,PT,37.73,-25.67,59,82,40,9.17
64,2128975,Nemuro,JP,43.32,145.57,60.8,77,75,13.87
65,3449176,São Francisco,BR,-15.95,-44.86,71.4,87,100,4.38
66,2644122,Llandrindod Wells,GB,52.24,-3.38,45.34,92,35,8.68
67,6201424,Mataura,NZ,-46.19,168.86,60.01,59,100,1.01
68,5276609,Two Rivers,US,44.15,-87.57,39.74,86,90,5.26
69,5866583,Saint Paul Harbor,US,57.79,-152.41,44.6,66,40,19.46
70,2507480,Algiers,DZ,36.75,3.04,71.6,40,75,4.7
71,2125693,Evensk,RU,61.95,159.23,32.31,90,51,4.12
72,965528,Phalaborwa,ZA,-23.94,31.14,71.6,68,23,3.36
73,5134295,Rome,US,43.21,-75.46,51.55,93,90,2.08
74,6170031,Tuktoyaktuk,CA,69.45,-133.04,18.95,93,89,11.39
75,2246901,Oussouye,SN,12.48,-16.55,79.72,94,40,4.7
76,3831208,Qaanaaq,GL,77.48,-69.36,19.74,90,100,7.47
77,6138310,Saint-Germain-de-Grantham,CA,45.83,-72.57,46,93,14,6.64
78,2264557,Ponta do Sol,PT,32.67,-17.1,57.88,59,20,6.93
79,1489656,Teya,RU,60.38,92.63,42.26,74,100,12.59
80,3141667,Roald,NO,62.58,6.13,38.8,75,85,12.75
81,4033543,Teahupoo,PF,-17.83,-149.27,78.4,74,75,2.24
82,2122104,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,50,34,0,4.47
83,2074865,Carnarvon,AU,-24.87,113.63,77,53,0,18.34
84,2618795,Klaksvík,FO,62.23,-6.59,32,63,67,8.99
85,103630,Najrān,SA,17.49,44.13,80.6,14,0,4.7
86,2122090,Pevek,RU,69.7,170.31,31.53,97,100,11.18
87,2384377,Mongoumba,CF,3.64,18.59,80.15,72,94,0.6
88,515246,Onega,RU,63.91,38.14,30.31,96,100,7.61
89,3520994,Puerto Escondido,MX,15.85,-97.07,78.17,82,93,5.77
90,3423146,Ilulissat,GL,69.22,-51.1,28.4,86,100,9.17
91,2136825,Isangel,VU,-19.55,169.27,80.6,78,75,9.04
92,2163355,Hobart,AU,-42.88,147.33,56.12,62,75,12.75
93,866062,Iskateley,RU,67.68,53.15,27.3,97,40,10.04
94,5870133,Nome,US,64.5,-165.41,34.61,80,90,3.36
95,2510693,Talavera de la Reina,ES,39.96,-4.83,57.58,89,100,2.66
96,3141310,Rørvik,NO,64.86,11.24,30.2,92,40,3.36
97,2013465,Verkhoyansk,RU,67.54,133.38,8.47,93,32,3.83
98,4676798,Brownwood,US,31.71,-98.99,69.8,73,75,8.05
99,3906209,Rurrenabaque,BO,-14.44,-67.53,71.06,92,58,1.57
100,5983720,Iqaluit,CA,63.75,-68.51,32,93,90,2.15
101,3027513,Challans,FR,46.84,-1.87,53.98,100,90,4.74
102,1927639,Yueyang,CN,29.33,113.09,74.73,44,0,8.9
103,3471451,Arraial do Cabo,BR,-22.97,-42.03,72.16,84,0,11.43
104,1513491,Yangi Marg`ilon,UZ,40.43,71.72,62.6,33,100,11.41
105,1855612,Nara,JP,34.69,135.8,69.26,68,75,1.12
106,5880054,Barrow,US,71.29,-156.79,33.8,93,90,17.22
107,2075265,Busselton,AU,-33.65,115.33,69.58,26,0,13.82
108,890516,Gwanda,ZW,-20.93,29,71.2,57,23,14.16
109,778707,Mehamn,NO,71.04,27.85,21.2,85,0,3.36
110,5859699,College,US,64.86,-147.8,23.29,85,90,3.36
111,303750,Tall Kayf,TR,37.08,41.07,82.4,18,0,9.17
112,1626542,Sorong,ID,-0.88,131.25,84.49,72,31,8.1
113,3464724,Diamantino,BR,-14.41,-56.45,75.67,66,28,1.54
114,3899539,Antofagasta,CL,-23.65,-70.4,59,82,90,8.05
115,3374210,São Filipe,CV,14.9,-24.5,80.29,74,0,5.46
116,2514651,Los Llanos de Aridane,ES,28.66,-17.92,66.2,68,20,6.93
117,3663684,Lábrea,BR,-7.26,-64.8,73.72,95,98,1.95
118,5969025,Haines Junction,CA,60.75,-137.51,20.14,83,0,2.04
119,4470244,Havelock,US,34.88,-76.9,68,94,1,4.81
120,4031574,Provideniya,RU,64.38,-173.3,41,80,75,4.47
121,2015306,Tiksi,RU,71.69,128.87,13.68,95,100,5.79
122,2094342,Kavieng,PG,-2.57,150.8,83.97,70,55,8.57
123,2510116,Úbeda,ES,38.01,-3.37,59,82,76,1.99
124,3146487,Raudeberg,NO,61.99,5.14,43,78,100,23.44
125,108410,Riyadh,SA,24.69,46.72,78.8,16,0,9.17
126,2249782,Kolda,SN,12.88,-14.95,78.8,94,83,4.07
127,4032243,Vaini,TO,-21.2,-175.2,73.4,73,75,8.05
128,2015352,Terney,RU,45.05,136.61,55.94,80,95,2.01
129,3614835,Barra Patuca,HN,15.8,-84.28,78.98,88,0,8.05
130,4031637,Lavrentiya,RU,65.58,-171,35.71,94,56,1.52
131,1052944,Angoche,MZ,-16.23,39.91,84.47,53,0,12.39
132,3372472,Vila Franca do Campo,PT,37.72,-25.43,59,82,40,9.17
133,2026861,Berdigestyakh,RU,62.1,126.7,19.38,96,82,2.19
134,2155562,Nelson Bay,AU,-32.72,152.15,73.85,69,20,17.22
135,2012530,Zhigansk,RU,66.77,123.37,17.98,96,90,9.22
136,2610343,Vestmanna,FO,62.16,-7.17,32,75,60,6.26
137,5106841,Albany,US,42.6,-73.97,59.79,80,100,2.77
138,117574,Sanandij,IR,35.31,46.99,57.2,26,0,2.24
139,2120591,Tilichiki,RU,60.47,166.1,36.23,90,100,6.15
140,3466704,Castro,BR,-24.79,-50.01,56.98,93,70,10.07
141,1735106,George Town,MY,5.41,100.34,79.75,78,40,5.82
142,3427833,Tandil,AR,-37.32,-59.13,52,96,95,3
143,1501377,Kungurtug,RU,50.6,97.52,48.74,45,0,0.87
144,5924351,Clyde River,CA,70.47,-68.59,17.6,72,1,8.05
145,1850523,Tateyama,JP,34.98,139.87,68.9,73,75,9.17
146,4005297,Guamúchil,MX,25.47,-108.1,78.49,82,0,1.99
147,1710519,Isabela,PH,6.71,121.97,89.6,66,40,4.7
148,2022572,Khatanga,RU,71.97,102.5,13.8,95,100,10.33
149,3466165,Cidreira,BR,-30.18,-50.21,65.48,88,100,17.96
150,2063042,Port Hedland,AU,-20.32,118.57,89.6,31,88,17.22
151,4035715,Avarua,CK,-21.21,-159.78,73.4,88,100,3.36
152,5563839,Fortuna,US,40.6,-124.16,49.53,87,1,10.29
153,687557,Zatoka,UA,46.07,30.47,55.2,66,9,11.18
154,2071860,Esperance,AU,-33.87,121.9,60.8,82,90,14.99
155,6067472,Marystown,CA,47.17,-55.15,55,100,100,5.99
156,893549,Chipinge,ZW,-20.19,32.62,67.75,76,76,5.61
157,3421765,Nanortalik,GL,60.14,-45.24,33.33,83,0,33.53
158,286621,Salalah,OM,17.02,54.09,86,70,20,4.7
159,1282256,Hithadhoo,MV,-0.6,73.08,83.23,74,0,13.22
160,5855927,Hilo,US,19.73,-155.09,70.79,83,20,3.36
161,2623394,Broager,DK,54.89,9.68,57.13,87,75,11.41
162,3855065,General Roca,AR,-39.03,-67.58,45.93,83,0,5.01
163,1283285,Jumla,NP,29.27,82.18,67.23,26,0,6.91
164,1006984,East London,ZA,-33.02,27.91,73.4,60,0,11.41
165,3665202,Aripuanã,BR,-9.17,-60.63,72.91,95,100,1.45
166,1516048,Khovd,MN,48.01,91.64,45.12,50,0,3.31
167,3414079,Olafsvik,IS,64.89,-23.71,38.55,90,100,22.59
168,3380290,Sinnamary,GF,5.38,-52.95,79.03,84,29,8.7
169,1622318,Waingapu,ID,-9.66,120.26,87.12,58,5,11.54
170,3374083,Bathsheba,BB,13.22,-59.52,82.4,78,20,16.11
171,2126123,Chokurdakh,RU,70.63,147.92,13.15,96,100,6.8
172,6165406,Thompson,CA,55.74,-97.86,23,92,90,3.36
173,2171099,Codrington,AU,-38.27,141.97,56.57,78,100,13.33
174,1253237,Verāval,IN,20.9,70.37,87.85,60,0,7.18
175,2016680,Shirokiy,RU,49.76,129.52,35.78,74,70,9.1
176,6089245,Norman Wells,CA,65.28,-126.83,21.2,85,90,6.93
177,1630639,Pringsewu,ID,-5.36,104.97,87.06,64,100,6.93
178,2654970,Brae,GB,60.4,-1.35,44.6,70,40,19.46
179,3646062,Tacarigua,VE,10.09,-67.92,71.51,87,11,1.59
180,3461565,Ibirataia,BR,-14.07,-39.64,70.05,92,100,1.61
181,1787093,Yantai,CN,37.53,121.4,56.98,51,8,13.53
182,5367788,Lompoc,US,34.64,-120.46,57.83,87,90,1.28
183,1268814,Joshīmath,IN,30.57,79.57,65.3,25,1,8.19
184,320369,Burhaniye,TR,39.5,26.97,66.2,72,20,11.41
185,3421982,Maniitsoq,GL,65.42,-52.9,25.9,94,98,10.13
186,3456642,Mozarlândia,BR,-14.74,-50.57,71.78,80,92,3.51
187,1490256,Talnakh,RU,69.49,88.4,12.2,85,40,4.47
188,2033225,Zhalantun,CN,48,122.72,37.71,61,0,17.92
189,1563281,Tuy Hoa,VN,13.08,109.3,80.42,74,100,13.85
190,2206874,Waipawa,NZ,-41.41,175.52,55.62,71,0,18.34
191,3839307,Rawson,AR,-43.3,-65.1,53.38,45,0,24.14
192,2525041,Cefalù,IT,38.04,14.02,63.93,66,49,1.99
193,4669635,Abilene,US,32.45,-99.73,72.23,64,1,19.46
194,3948613,Acarí,PE,-15.43,-74.62,62.6,62,63,3.15
195,2126682,Bilibino,RU,68.05,166.44,19.62,95,11,2.75
196,964420,Port Elizabeth,ZA,-33.92,25.57,66.2,68,0,3.36
197,2126710,Beringovskiy,RU,63.05,179.32,38.77,89,50,6.46
198,2174444,Bowen,AU,-20.02,148.23,86,42,0,12.75
199,3054533,Celldömölk,HU,47.26,17.15,45.32,100,75,2.24
200,487928,Novikovo,RU,51.15,37.89,49.03,69,86,1.21
201,1015776,Bredasdorp,ZA,-34.53,20.04,62.6,77,75,5.82
202,1529376,Korla,CN,41.76,86.15,65.28,23,0,9.31
203,3419842,Sisimiut,GL,66.94,-53.67,28.9,92,89,5.01
204,3115824,Muros,ES,42.78,-9.06,55.09,90,38,11.99
205,3355672,Lüderitz,NA,-26.65,15.16,61.95,74,100,15.99
206,3443061,Chui,UY,-33.7,-53.46,58.75,75,100,13.15
207,8079926,Labuhan,ID,-6.88,112.21,87.31,60,17,10.76
208,3661944,Tefé,BR,-3.35,-64.71,72.54,91,100,1.03
209,2643044,Margate,GB,51.38,1.39,55.4,87,0,3
210,1566346,Thai Binh,VN,20.45,106.33,82.4,39,97,5.82
211,2063036,Port Lincoln,AU,-34.73,135.87,63.52,71,100,12.84
212,2121385,Severo-Kuril'sk,RU,50.68,156.12,41.04,71,29,5.17
213,935255,Sainte-Marie,RE,-20.9,55.55,75.27,61,75,26.4
214,2179103,Whitianga,NZ,-36.83,175.7,63,85,42,1.01
215,3361934,Saldanha,ZA,-33.01,17.94,57.2,82,0,8.05
216,2240449,Luanda,AO,-8.84,13.23,77,78,75,3.36
217,6185377,Yellowknife,CA,62.46,-114.35,21.34,92,90,8.05
218,1267390,Kavaratti,IN,10.57,72.64,86,70,20,5.82
219,591064,Ardu,EE,59.1,25.35,48.56,93,90,9.17
220,3893726,Constitución,CL,-35.33,-72.42,50.18,74,0,8.57
221,3382160,Cayenne,GF,4.93,-52.33,77,100,76,8.3
222,4014336,Chihuahua,MX,28.5,-106,70,37,0,5.01
223,1733782,Labuan,MY,5.28,115.24,87.39,70,40,9.17
224,1214658,Lhokseumawe,ID,5.18,97.15,86.04,64,100,6.91
225,1267786,Karera,IN,25.47,78.15,91.38,18,21,2.71
226,3871336,Santiago,CL,-33.46,-70.65,54.16,81,23,5.82
227,2027244,Bagdarin,RU,54.43,113.6,32.7,80,10,2.48
228,2013952,Ust'-Ilimsk,RU,58,102.66,45.68,69,69,11.07
229,4034551,Faanui,PF,-16.48,-151.75,79.02,72,100,11.99
230,2092164,Lorengau,PG,-2.02,147.27,83.16,74,78,4.5
231,3369157,Cape Town,ZA,-33.93,18.42,67.05,77,0,9.17
232,2110227,Butaritari,KI,3.07,172.79,82.22,71,31,9.08
233,2013279,Vostok,RU,46.49,135.88,41.77,96,99,0.98
234,2093691,Kokoda,PG,-8.88,147.74,79.3,72,100,2.51
235,1636544,Manado,ID,1.49,124.85,89.6,59,40,2.24
236,2782070,Bad Aussee,AT,47.61,13.78,47.75,76,98,11.41
237,2274275,Robertsport,LR,6.75,-11.37,76.89,86,90,3.91
238,986717,Kruisfontein,ZA,-34,24.73,73.99,45,0,3
239,1819729,Hong Kong,HK,22.29,114.16,81.9,45,79,15.99
240,779261,Kjøllefjord,NO,70.95,27.35,21.2,85,13,3.36
241,3661756,Uarini,BR,-2.99,-65.11,73.2,95,100,0.98
242,1278985,Alappuzha,IN,9.49,76.33,83.03,70,100,8.52
243,110690,Faya,SA,18.39,42.45,66.2,17,25,8.05
244,3401148,Cururupu,BR,-1.83,-44.87,74.48,90,79,3.83
245,3664956,Boca do Acre,BR,-8.75,-67.4,72.18,97,100,1.28
246,6355222,Yulara,AU,-25.24,130.99,100.4,10,75,26.4
247,2264923,Peniche,PT,39.36,-9.38,53.33,91,0,7.07
248,3946820,Barranca,PE,-10.75,-77.77,60.58,91,82,6.98
249,318755,Çeşme,TR,38.32,26.31,68,72,20,6.93
250,2137773,Vao,NC,-22.67,167.48,73.58,87,0,16.46
251,4036284,Alofi,NU,-19.06,-169.92,75.2,88,100,14.99
252,964090,Prieska,ZA,-29.66,22.75,84.16,23,0,12.28
253,2374583,Bubaque,GW,11.28,-15.83,81.97,83,27,10.6
254,2108857,Gizo Government Station,SB,-8.1,156.84,82.9,74,85,9.48
255,1649150,Bengkulu,ID,-3.8,102.27,79.3,77,100,5.39
256,1512019,Aksarka,RU,66.56,67.8,15.6,96,63,5.91
257,236950,Obo,CF,5.4,26.49,73.54,89,98,3.8
258,4513583,Hamilton,US,39.18,-84.53,59.7,93,90,3.62
259,1795632,Shenjiamen,CN,29.96,122.3,65.44,74,100,16.71
260,3882582,Loncoche,CL,-39.37,-72.63,35.6,100,0,1.12
261,2176639,Batemans Bay,AU,-35.72,150.18,63.05,92,85,4
262,2153778,Parkes,AU,-33.13,148.18,79,52,100,2.04
263,1489048,Tuim,RU,54.34,89.93,53.91,41,100,19.39
264,2191562,Dunedin,NZ,-45.87,170.5,52,83,100,5.99
265,2023333,Kachug,RU,53.96,105.88,43.23,62,61,3.91
266,934322,Mahébourg,MU,-20.41,57.7,80.6,57,75,14.99
267,6095416,Outlook,CA,51.5,-107.05,18.66,93,95,7.54
268,6078372,Moose Factory,CA,51.26,-80.61,24.8,92,1,4.7
269,2681825,Ronneby,SE,56.21,15.28,57.2,87,75,14.99
270,932960,Werda,BW,-25.27,23.28,78.67,36,0,20.74
271,5557293,Sitka,US,57.05,-135.33,33.8,50,1,6.93
272,2192362,Christchurch,NZ,-43.53,172.63,53.22,81,100,16.11
273,1106677,Bambous Virieux,MU,-20.34,57.76,80.31,57,75,14.99
274,1028434,Quelimane,MZ,-17.88,36.89,77,88,75,9.17
275,2377457,Nouadhibou,MR,20.93,-17.03,69.8,77,0,13.87
276,237379,Ndélé,CF,8.41,20.65,73.38,79,100,2.3
277,6096551,Pangnirtung,CA,66.15,-65.71,24.87,94,100,2.26
278,3464008,Esmeraldas,BR,-19.76,-44.31,66.2,93,91,10.29
279,3374333,Praia,CV,14.92,-23.51,78.8,74,20,16.11
280,5044290,Saint Anthony,US,45.02,-93.22,30.99,86,90,4.09
281,1507116,Dudinka,RU,69.41,86.18,12.2,85,40,4.47
282,5110365,Broome,US,42.25,-75.83,58.28,93,90,3.36
283,2171320,Clifton Springs,AU,-38.15,144.57,60.1,72,100,11.41
284,3904906,Santa Cruz de la Sierra,BO,-17.8,-63.17,73.4,88,40,2.24
285,3393692,Itarema,BR,-2.92,-39.92,78.85,82,97,14.38
